Neighborhood,LotArea,MSZoning,HouseStyle,LotFrontage,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,SalePrice
OldTown,5520,RM,2.5Fin,92,6,6,1912,1950,755,929,929,371,2229,1,0,5,1,8,0,NA,0,0,0,198,30,104000
NridgHt,9591,RL,1Story,76,8,5,2004,2005,1713,1713,0,0,1713,2,0,3,1,7,1,2004,3,856,0,26,0,274900
Edwards,8546,RM,1Story,80,4,5,2003,2004,1121,1121,0,0,1121,2,0,2,1,5,0,2003,2,440,132,64,0,140000
Mitchel,10125,RL,1Story,75,6,6,1977,1977,1196,1279,0,0,1279,2,0,3,1,6,2,1980,2,473,238,83,0,171500
OldTown,7000,RL,1.5Fin,50,6,6,1924,1950,617,865,445,0,1310,2,0,2,1,6,0,1924,1,398,0,0,126,112000
CollgCr,4438,RM,1Story,NA,6,5,2004,2004,848,848,0,0,848,1,0,1,1,3,1,2004,2,420,149,0,0,149000
OldTown,3500,RM,1.5Fin,50,5,7,1947,1950,720,720,564,0,1284,1,1,2,1,5,0,1948,1,240,0,35,0,110000
Gilbert,11851,RL,1Story,99,7,5,1990,1990,1424,1442,0,0,1442,2,0,3,1,5,0,1990,2,500,0,34,0,180500
Sawyer,13673,RL,1Story,40,5,5,1962,1962,1140,1696,0,0,1696,1,1,3,1,8,1,1962,1,349,0,30,0,143900
NAmes,12493,RL,1Story,NA,4,5,1960,1960,1100,1100,0,0,1100,1,0,3,1,6,1,1960,1,312,355,0,0,141000
SawyerW,14364,RL,2Story,NA,7,5,1988,1989,1157,1180,882,0,2062,2,1,3,1,7,1,1988,2,454,60,55,0,277000
NAmes,8250,RL,1Story,75,6,7,1964,1964,1092,1092,0,0,1092,1,0,3,1,6,0,1964,2,504,0,0,0,145000
Edwards,5604,RL,1Story,67,5,6,1925,1950,864,864,0,0,864,1,0,2,1,5,0,NA,0,0,0,0,96,98000
Edwards,10420,RL,1Story,83,6,5,2009,2009,1212,1212,0,0,1212,2,0,3,1,6,0,2009,2,460,100,22,0,186000
Somerst,8640,FV,2Story,72,7,5,2009,2009,900,932,920,0,1852,2,1,3,1,7,1,2009,2,644,168,108,0,252678
CollgCr,13568,RL,1Story,43,5,5,1995,1995,990,990,0,0,990,1,0,3,1,5,0,1996,2,576,224,0,0,156000
CollgCr,10900,RL,2Story,NA,6,7,1977,1977,689,689,703,0,1392,1,1,3,1,6,0,1977,1,299,0,36,0,161750
NAmes,10011,RL,1Story,72,5,6,1957,1996,1070,1236,0,0,1236,1,0,2,1,6,1,1957,1,447,0,0,0,134450
CollgCr,8450,RL,1Story,65,7,5,2004,2004,1436,1436,0,0,1436,2,0,3,1,8,0,2004,2,484,139,98,0,210000
OldTown,9906,RM,2Story,57,4,4,1925,1950,686,810,518,0,1328,1,0,3,1,8,0,1940,1,210,0,172,60,107000
Crawfor,15660,RL,1.5Fin,NA,7,9,1939,2006,798,1137,817,0,1954,1,1,3,1,8,2,1939,2,431,0,119,150,311500
Blmngtn,3010,RL,1Story,43,7,5,2005,2006,1248,1248,0,0,1248,2,0,2,1,5,0,2005,2,438,108,0,0,167240
CollgCr,8990,RL,1Story,73,7,5,2006,2006,1498,1498,0,0,1498,2,0,2,1,5,0,2006,2,675,351,33,0,204900
Gilbert,8068,RL,2Story,NA,6,5,2002,2002,1010,1010,1257,0,2267,2,1,4,1,8,1,2002,2,390,120,46,0,200000
NWAmes,11475,RL,2Story,85,6,6,1975,1975,713,811,741,0,1552,2,1,3,1,6,1,1975,2,434,209,208,0,179900
NAmes,10500,RL,1Story,70,4,6,1971,1971,864,864,0,0,864,1,0,2,1,4,0,1989,2,576,216,0,0,97000
NridgHt,13472,RL,1Story,103,10,5,2003,2003,2392,2392,0,0,2392,2,0,3,1,8,1,2003,3,968,248,105,0,386250
BrDale,1680,RM,2Story,21,5,5,1971,1971,630,630,672,0,1302,2,1,3,1,6,0,1991,1,280,0,0,0,112000
NoRidge,9950,RL,2Story,82,7,5,1995,1995,1203,1214,1306,0,2520,2,1,4,1,9,1,1995,3,721,224,114,0,290000
BrDale,1869,RM,2Story,21,6,6,1970,1970,483,483,504,0,987,1,1,2,1,5,0,1987,1,280,0,0,0,106000
Sawyer,8521,RL,1Story,70,5,5,1967,1967,912,912,0,0,912,1,0,3,1,5,1,1974,1,336,0,0,0,125000
Blmngtn,3182,RL,1Story,43,7,5,2005,2006,1373,1555,0,0,1555,2,0,2,1,7,1,2005,2,430,143,20,0,192500
NAmes,8760,RL,1Story,73,6,6,1959,1959,1194,1194,0,0,1194,1,0,3,1,6,0,1959,1,312,0,0,120,148000
NoRidge,15138,RL,2Story,174,8,5,1995,1996,1462,1490,1304,0,2794,2,1,4,1,9,1,1995,3,810,0,146,202,403000
BrDale,1680,RM,2Story,21,6,5,1972,1972,483,483,504,0,987,1,1,2,1,5,1,1972,1,288,0,0,0,94500
CollgCr,10650,RL,1Story,75,5,6,1976,1976,894,894,0,0,894,1,0,3,1,5,0,1976,1,308,365,0,0,128200
Gilbert,7851,RL,2Story,NA,6,5,2002,2002,860,860,1100,0,1960,2,1,4,1,8,2,2002,2,440,288,48,0,216500
BrDale,1680,RM,2Story,21,6,3,1971,1971,483,483,504,0,987,1,1,2,1,5,0,1971,1,264,0,0,0,89500
CollgCr,8773,RL,1Story,65,7,5,2004,2004,1414,1414,0,0,1414,2,0,3,1,6,0,2004,2,494,132,105,0,185500
SawyerW,9453,RL,2Story,NA,7,7,1993,2003,996,1014,730,0,1744,2,1,3,1,7,0,1993,2,457,370,70,0,194500
NridgHt,12030,RL,1Story,93,8,5,2007,2007,1694,1694,0,0,1694,2,0,3,1,7,0,2007,3,818,168,228,0,318000
Edwards,8741,RL,1.5Fin,52,6,4,1945,1950,735,798,689,0,1487,1,1,3,1,7,1,1949,1,220,0,140,0,113000
Somerst,9000,FV,1Story,75,8,5,2008,2008,1566,1566,0,0,1566,2,0,3,1,7,0,2008,2,750,144,168,0,262500
OldTown,3880,RM,1Story,40,5,9,1945,1997,686,866,0,0,866,1,0,2,1,4,0,NA,0,0,58,42,0,110500
OldTown,5000,RM,1.5Fin,63,5,4,1900,1950,540,889,551,0,1440,1,0,3,1,6,0,1940,1,352,0,0,77,79000
SawyerW,10762,RL,2Story,75,6,6,1980,1980,626,626,591,0,1217,1,1,3,1,6,1,1980,1,288,0,28,0,120000
SawyerW,8880,RL,2Story,NA,7,5,1994,2002,948,1222,888,0,2110,2,1,3,1,8,2,1994,2,463,0,130,0,205000
NWAmes,10400,RL,1Story,80,7,5,1988,1988,1845,1872,0,0,1872,2,0,3,1,6,1,1988,2,604,197,39,0,241500
OldTown,9142,RM,2Story,69,6,8,1910,1950,1020,908,1020,0,1928,2,0,4,2,9,0,1910,1,440,0,60,112,137000
NAmes,11310,RL,1Story,75,6,5,1954,1954,1367,1375,0,0,1375,1,0,2,1,5,1,1954,2,451,0,30,0,140000
CollgCr,11317,RL,2Story,72,7,5,2003,2003,840,840,828,0,1668,2,1,3,1,8,0,2003,2,500,144,68,0,180000
ClearCr,159000,RL,1.5Fin,NA,6,7,1958,2006,1444,1444,700,0,2144,2,0,4,1,7,2,1958,2,389,0,98,0,277000
BrkSide,5350,RL,1Story,55,3,2,1940,1966,728,1306,0,0,1306,1,0,3,1,6,0,NA,0,0,263,0,0,76500
Crawfor,4750,RM,1Story,44,8,5,2006,2007,1573,1625,0,0,1625,2,0,2,1,5,1,2006,2,538,123,0,0,235000
SawyerW,8366,RL,2Story,65,6,5,2004,2004,798,798,842,0,1640,2,1,3,1,6,0,2004,2,520,138,45,0,173000
NAmes,9350,RL,SLvl,85,6,7,1964,1991,1302,1302,0,0,1302,2,0,3,1,7,0,1964,1,309,333,0,0,158000
NAmes,8400,RL,1Story,70,5,6,1957,1957,1314,1314,0,0,1314,1,0,3,1,5,0,1957,1,294,250,0,0,145000
Gilbert,8738,RL,2Story,66,7,5,1999,1999,975,1005,1286,0,2291,2,1,4,1,8,1,1999,2,429,192,0,0,230000
Somerst,8791,FV,2Story,64,6,5,2003,2003,864,864,864,0,1728,2,1,3,1,7,0,2003,2,673,216,56,0,207500
CollgCr,8814,RL,1Story,68,7,5,2006,2006,1604,1604,0,0,1604,2,1,3,1,8,1,2006,2,660,123,110,0,220000
CollgCr,12435,RL,2Story,80,7,5,2001,2001,963,963,829,0,1792,2,1,3,1,7,1,2001,2,564,0,96,0,231500
OldTown,12702,RM,1Story,70,5,5,1956,1956,0,882,0,0,882,1,0,2,1,4,0,1956,1,308,0,45,0,97000
NAmes,19296,RL,SLvl,120,6,5,1962,1962,1362,1382,0,0,1382,1,0,3,1,6,1,1991,2,884,0,0,252,176000
CollgCr,9588,RL,2Story,69,8,5,2007,2007,1482,1482,1092,0,2574,2,1,3,1,10,1,2007,3,868,0,148,0,276000
Sawyer,8471,RL,SLvl,88,6,7,1977,1995,506,1212,0,0,1212,1,0,3,1,6,1,1978,2,492,292,12,0,151000
OldTown,5500,RM,1.5Fin,50,5,7,1929,2001,926,926,0,390,1316,1,0,3,1,6,0,1974,2,484,0,0,0,130000
OldTown,5232,RM,1Story,30,5,5,1925,2004,680,764,0,0,764,1,0,2,1,4,0,1965,2,504,0,0,0,73000
NWAmes,12090,RL,1Story,78,6,6,1981,1981,1422,1422,0,0,1422,2,0,3,1,7,1,1981,2,576,276,0,0,175500
Gilbert,11207,RL,2Story,70,6,5,1997,1997,802,802,709,0,1511,2,1,3,1,8,1,1997,2,413,95,75,0,185000
SWISU,8400,RL,2.5Fin,60,5,8,1939,1997,720,1052,720,420,2192,2,1,4,1,8,1,1939,1,240,262,24,0,179500
IDOTRR,6900,RM,1Story,71,5,6,1940,1955,740,778,0,0,778,1,0,2,1,4,1,1966,1,924,0,25,0,120500
Edwards,7917,RL,1Story,NA,6,7,1976,1976,1143,1113,0,0,1113,1,1,3,1,6,1,1987,1,504,370,30,0,148000
Somerst,10728,FV,2Story,84,8,5,2006,2006,1095,1095,844,0,1939,2,1,3,1,8,1,2006,3,1053,192,51,0,266000
ClearCr,39104,RL,1Story,73,7,7,1954,2005,1385,1363,0,0,1363,1,0,2,1,5,2,1954,2,439,81,0,0,241500
NoRidge,11764,RL,2Story,92,8,7,1999,2007,1152,1164,1106,0,2270,2,1,4,1,9,1,1999,3,671,132,57,0,290000
NAmes,9600,RL,1Story,80,6,6,1958,1988,1240,1632,0,0,1632,2,0,3,1,6,1,1958,1,338,289,0,0,139000
Mitchel,8314,RL,1Story,76,5,7,1982,1982,816,816,0,0,816,1,0,2,1,5,0,1982,1,264,168,0,0,124500
BrkSide,7264,RL,1.5Fin,55,7,7,1925,2007,952,952,596,0,1548,2,1,3,1,5,0,1978,2,672,74,0,0,205000
Mitchel,9196,RL,1Story,129,7,5,2003,2003,1560,1560,0,0,1560,2,0,3,1,7,0,2003,2,573,100,150,0,201000
Gilbert,19138,RL,1Story,140,4,5,1951,1951,864,864,0,0,864,1,0,2,1,4,0,1951,2,400,0,0,0,141000
NridgHt,14450,RL,1Story,107,9,5,2006,2007,2121,2121,0,0,2121,2,1,3,1,8,1,2007,3,732,124,98,0,415298
ClearCr,10005,RL,2Story,83,7,5,1977,1977,1160,1156,866,0,2022,2,1,4,1,8,1,1977,2,505,288,117,0,192000
SawyerW,11287,RL,2Story,82,7,6,1989,1989,807,1175,807,0,1982,2,1,3,1,7,1,1989,2,575,0,84,0,228500
Somerst,7200,FV,1Story,60,6,5,2006,2006,1262,1262,0,0,1262,2,0,2,1,5,0,2006,2,572,0,120,0,185000
NridgHt,5063,RL,1Story,34,7,5,2007,2008,1314,1314,0,0,1314,2,0,2,1,6,1,2008,2,626,172,62,0,207500
Somerst,9612,RL,1Story,74,8,5,2008,2009,1468,1468,0,0,1468,2,0,3,1,6,1,2008,3,898,210,150,0,244600
SawyerW,8012,RL,1Story,50,6,5,1992,1992,1575,1575,0,0,1575,2,0,2,1,5,0,1992,2,529,0,0,52,179200
Somerst,4251,FV,2Story,35,7,5,2006,2007,625,625,625,0,1250,2,1,2,1,5,0,2006,2,528,0,54,0,164700
NAmes,9786,RL,1.5Fin,77,6,7,1962,1981,912,1085,649,0,1734,1,1,3,1,7,1,1962,2,440,0,0,0,159000
NAmes,8125,RL,1Story,NA,4,4,1971,1971,858,858,0,0,858,1,0,3,1,5,0,NA,0,0,0,0,0,88000
Sawyer,9819,RL,1Story,NA,5,5,1967,1967,882,900,0,0,900,1,0,3,1,5,0,1970,1,280,0,0,0,122000
BrkSide,8730,RL,2Story,60,6,7,1915,2003,698,698,698,0,1396,1,0,3,1,7,0,2003,1,384,0,0,0,153575
CollgCr,15611,RL,2Story,120,8,5,2006,2006,1079,1079,840,0,1919,2,1,3,1,8,1,2006,2,685,0,51,0,233230
SWISU,5687,RL,2Story,55,5,6,1912,2000,780,936,780,0,1716,2,0,6,1,9,0,NA,0,0,0,184,0,135900
Edwards,11409,RL,1.5Fin,60,5,4,1949,2008,768,1148,568,0,1716,1,1,3,1,8,1,1949,1,281,0,0,0,131000
NWAmes,16659,RL,2Story,NA,7,7,1977,1994,795,1468,795,0,2263,2,1,3,1,9,1,1977,2,539,0,250,0,235000
NAmes,9600,RL,1Story,80,6,5,1953,1953,1416,1644,0,0,1644,1,0,3,1,7,2,1953,2,418,110,0,0,167000
Mitchel,7937,RL,SLvl,37,6,6,1984,1984,1003,1003,0,0,1003,1,0,3,1,6,0,1984,2,588,120,0,0,142500
IDOTRR,13710,RM,1.5Fin,75,5,5,1950,1950,910,910,648,0,1558,1,1,4,1,6,0,1950,1,282,289,0,0,152000
Somerst,7399,FV,2Story,66,7,5,1997,1998,975,975,975,0,1950,2,1,3,1,7,1,1997,2,576,0,10,0,239000
NWAmes,11700,RL,2Story,90,6,6,1968,1968,702,1041,702,0,1743,1,2,3,1,7,1,1968,2,539,224,0,0,175000
Crawfor,14000,RL,1Story,80,6,8,1950,2004,1092,1152,0,0,1152,1,0,3,1,6,1,1950,1,300,0,36,0,158500
Crawfor,15750,RL,1Story,90,5,5,1953,1953,1165,1336,0,0,1336,1,0,2,1,5,2,1953,1,375,0,0,0,157000
CollgCr,16226,RL,2Story,66,8,5,1998,1999,1028,1210,1242,0,2452,2,1,4,1,9,1,1998,2,683,208,50,0,267000
CollgCr,13704,RL,1Story,118,7,5,2001,2002,1541,1541,0,0,1541,2,0,3,1,6,1,2001,3,843,468,81,0,205000
CollgCr,9800,RL,1Story,70,5,7,1972,1972,894,894,0,0,894,1,0,3,1,5,0,1975,2,552,256,0,0,149900
OldTown,18386,RM,2.5Fin,87,7,9,1880,2002,1470,1675,1818,0,3493,3,0,3,1,10,1,2003,3,870,302,0,0,295000
CollgCr,10386,RL,1Story,80,8,5,2004,2005,2000,2000,0,0,2000,2,0,3,1,8,0,2004,3,888,168,0,0,305900
SawyerW,13474,RL,2Story,116,7,5,1990,1991,700,1122,1121,0,2243,2,1,4,1,8,1,1990,3,746,127,44,224,225000
IDOTRR,7920,RM,1.5Fin,NA,6,7,1920,1950,319,1035,371,0,1406,1,0,3,1,6,0,NA,0,0,0,144,0,89500
Edwards,12342,RL,1Story,NA,4,5,1940,1950,861,861,0,0,861,1,0,1,1,4,0,1961,2,539,158,0,0,82500
NridgHt,12378,RL,1Story,90,9,5,2003,2004,1896,1944,0,0,1944,2,0,3,1,8,3,2003,3,708,208,175,0,360000
Gilbert,7685,RL,2Story,NA,6,5,1993,1994,697,697,804,0,1501,2,1,3,1,6,1,1993,2,420,190,63,0,165600
NAmes,8000,RL,1Story,50,6,6,1948,2002,972,972,0,0,972,1,0,2,1,5,1,1948,1,240,0,0,0,132000
OldTown,7800,RM,1.5Fin,65,5,7,1939,1950,793,793,325,0,1118,1,0,3,1,5,1,1939,2,410,0,0,0,119900
Timber,215245,RL,1Story,150,7,5,1965,1965,2136,2036,0,0,2036,2,0,3,1,8,2,1965,2,513,0,0,0,375000
OldTown,9600,RM,2Story,60,7,7,1925,1990,728,832,809,0,1641,1,1,3,1,6,1,1925,2,546,0,0,234,178000
Gilbert,7795,RL,2Story,71,7,5,2004,2005,716,716,716,0,1432,2,1,3,1,6,1,2004,2,432,100,51,0,188500
NWAmes,13005,RL,2Story,94,7,7,1980,1980,845,1153,1200,0,2353,2,1,4,1,10,1,1983,2,484,288,195,0,260000
Somerst,9000,FV,2Story,75,8,5,2006,2006,1088,1088,871,0,1959,2,1,3,1,8,1,2006,3,1025,208,46,0,270000
NoRidge,9900,RL,2Story,90,7,5,1993,1993,1347,1372,1274,0,2646,2,1,4,1,9,1,1993,3,656,340,60,144,260000
NWAmes,14115,RL,SLvl,NA,7,5,1980,1980,1372,1472,0,0,1472,2,0,3,1,6,2,1980,2,588,233,48,0,187500
NridgHt,16259,RL,2Story,111,9,5,2006,2006,1249,1249,1347,0,2596,3,1,4,1,9,0,2006,3,840,240,154,0,342643
NridgHt,12099,RL,2Story,99,8,5,2004,2004,1136,1136,1332,0,2468,2,1,4,1,10,1,2004,3,872,184,154,0,354000
SawyerW,10380,RL,2Story,86,7,5,1986,1987,1502,1553,1177,0,2730,2,1,4,1,8,1,1987,2,576,201,96,0,301000
OldTown,5820,RM,1Story,49,3,8,1955,2005,1162,1163,0,0,1163,1,0,3,1,6,0,1955,1,220,142,98,0,126175
NAmes,11275,RL,SLvl,96,7,7,1967,2007,710,1898,1080,0,2978,2,1,5,1,11,1,1961,2,564,240,0,0,242000
IDOTRR,5000,RM,1.5Unf,50,5,6,1941,1950,720,803,0,0,803,1,0,2,1,5,0,1941,2,360,0,0,244,87000
Veenker,10846,RL,1Story,32,8,5,1993,1993,1719,1719,0,0,1719,1,1,1,1,6,2,1993,2,473,122,30,0,324000
NAmes,11600,RL,1Story,80,6,5,1960,1960,1383,1383,0,0,1383,1,1,3,1,7,0,1960,1,292,0,45,0,145250
BrkSide,11888,RL,2.5Unf,NA,6,6,1916,1994,844,1445,689,0,2134,2,0,5,1,10,0,1930,2,441,0,60,268,214500
IDOTRR,6402,RM,2Story,60,5,5,1920,1950,596,596,596,0,1192,1,0,3,1,6,0,1920,1,189,0,0,137,78000
NAmes,10624,RL,1Story,NA,5,4,1964,1964,1728,1728,0,0,1728,2,0,6,2,10,0,2002,1,352,155,0,0,119000
NAmes,8176,RL,1Story,70,5,6,1958,1992,1056,1056,0,0,1056,1,0,3,1,6,0,1958,1,308,0,0,0,139000
NridgHt,10655,RL,1Story,85,8,5,2003,2004,3206,1629,0,0,1629,2,0,3,1,7,1,2003,3,880,0,0,0,284000
NridgHt,8198,RM,1Story,59,7,5,2004,2004,1358,1358,0,0,1358,2,0,2,1,6,1,2004,2,484,192,30,0,207000
Gilbert,9042,RL,2Story,59,6,5,1998,1998,943,943,695,0,1638,2,1,3,1,7,2,1998,2,472,100,38,0,192000
Timber,164660,RL,1.5Fin,NA,5,6,1965,1965,1499,1619,167,0,1786,2,0,3,1,7,2,1965,2,529,670,0,0,228950
StoneBr,14157,RL,1Story,86,9,5,2005,2006,1922,1922,0,0,1922,2,0,3,1,8,1,2005,3,676,178,51,0,377426
CollgCr,9135,RL,1Story,70,7,5,2002,2003,1536,1536,0,0,1536,2,0,3,1,7,0,2002,2,532,192,74,0,214000
NWAmes,14145,RL,1Story,91,7,7,1984,1998,1208,1621,0,0,1621,2,0,3,1,8,0,1984,2,440,108,45,0,202500
NAmes,12400,RL,1Story,66,6,7,1958,1998,1215,1215,0,0,1215,1,0,3,1,6,0,1958,1,297,0,0,0,155000
Timber,14191,RL,2Story,85,8,5,2002,2002,967,993,915,0,1908,2,1,4,1,9,0,2002,2,431,135,0,0,202900
SawyerW,8400,RH,1Story,60,4,4,1950,1950,721,841,0,0,841,1,0,2,1,4,0,1950,1,294,250,0,24,82000
NAmes,8544,RL,1Story,NA,3,4,1949,1950,0,1040,0,0,1040,2,0,2,2,6,0,1949,2,400,0,0,0,87500
NridgHt,8849,RL,1Story,63,9,5,2005,2005,1684,1684,0,0,1684,2,0,2,1,6,1,2005,2,564,495,72,0,266000
MeadowV,2592,RM,2Story,36,5,3,1976,1976,536,536,576,0,1112,1,1,3,1,4,0,1976,1,336,182,0,0,85000
BrkSide,6435,RL,1.5Fin,65,6,5,1939,1950,972,972,605,0,1577,1,0,3,1,6,1,1939,1,312,0,0,0,140200
NAmes,12772,RL,1Story,NA,6,8,1960,1998,958,958,0,0,958,1,0,2,1,5,0,1960,1,301,0,0,0,151500
NAmes,17600,RL,1Story,NA,6,5,1960,1960,1478,1478,0,0,1478,2,0,3,1,6,2,1960,2,498,0,40,0,157500
NridgHt,2448,RL,2Story,36,7,5,2003,2004,764,764,862,0,1626,2,1,2,1,6,0,2003,2,474,0,27,0,154000
NridgHt,20431,RL,2Story,56,9,5,2005,2006,1848,1848,880,0,2728,2,1,4,1,10,2,2006,3,706,0,0,0,437154
NridgHt,7820,RL,1Story,68,9,5,2007,2007,1869,1869,0,0,1869,2,0,2,1,6,1,2007,2,617,210,54,0,318061
ClearCr,5271,RL,1Story,NA,7,5,1986,1986,1453,1453,0,0,1453,1,1,2,1,6,1,1986,2,445,0,80,0,190000
Edwards,9084,RL,1.5Fin,60,5,6,1941,1950,616,616,495,0,1111,1,0,3,1,5,0,1941,1,200,48,0,0,95000
OldTown,8520,RM,1Story,60,6,8,1928,2003,624,720,0,0,720,1,0,2,1,5,0,2005,2,484,106,0,0,105900
SWISU,8400,RL,1.5Fin,60,6,5,1940,2000,940,1192,403,0,1595,1,0,2,1,6,2,1940,1,240,0,0,108,140000
CollgCr,11249,RL,1Story,105,6,5,1995,1995,1200,1200,0,0,1200,2,0,3,1,6,0,1995,2,521,0,26,0,177500
Gilbert,9248,RL,1Story,NA,6,6,1992,1992,1158,1167,0,0,1167,2,0,3,1,6,0,1992,2,400,120,26,0,173000
MeadowV,4224,RM,1Story,44,5,5,1976,1976,1142,1142,0,0,1142,1,1,3,1,6,1,1976,2,528,536,90,0,134000
ClearCr,6930,RL,SLvl,92,5,4,1958,1958,1062,1352,0,0,1352,1,0,3,1,6,0,1958,1,288,168,0,294,130000
NoRidge,12011,RL,2Story,78,8,5,1998,1998,1086,1086,838,0,1924,2,1,3,1,7,1,1998,2,592,208,75,0,280000
Mitchel,7540,RL,SFoyer,NA,6,6,1978,1978,888,912,0,0,912,1,0,2,1,5,1,1978,2,470,0,0,0,156000
BrkSide,9144,RL,1.5Fin,NA,5,5,1940,1982,883,988,517,0,1505,1,0,3,1,8,0,1940,1,240,0,0,0,145000
Edwards,7301,RL,SFoyer,64,7,5,2003,2003,0,495,1427,0,1922,3,0,4,1,7,1,2003,2,672,0,0,177,198500
BrDale,1680,RM,2Story,21,6,8,1972,2007,483,483,504,0,987,1,1,2,1,5,0,1972,1,264,250,0,0,118000
NWAmes,18800,RL,2Story,NA,6,5,1976,1976,796,790,784,0,1574,2,1,3,1,6,1,1976,2,566,306,111,0,190000
IDOTRR,10690,RM,2Story,59,5,7,1920,1997,672,672,672,0,1344,1,0,3,1,6,0,1964,1,468,0,128,218,147000
NAmes,9500,RL,1Story,NA,6,5,1963,1963,1394,1394,0,0,1394,1,1,3,1,6,2,1963,2,514,0,76,0,159000
NAmes,9150,RL,SLvl,101,6,5,1962,1962,1099,1431,0,0,1431,1,0,3,1,6,1,1962,1,296,64,110,0,165000
NAmes,7800,RL,1Story,78,5,6,1954,1954,1268,1268,0,0,1268,1,0,2,1,7,1,1954,1,244,0,98,0,132000
NAmes,9830,RL,1Story,NA,5,7,1959,2006,1063,1287,0,0,1287,1,0,3,1,7,1,1997,2,576,364,17,0,162000
Gilbert,8121,RL,2Story,NA,6,5,2000,2000,953,953,711,0,1664,2,1,3,1,7,1,2000,2,460,100,40,0,172400
ClearCr,17120,RL,1.5Fin,80,4,4,1959,1959,0,1120,468,0,1588,2,0,4,1,7,1,1991,2,680,0,59,0,134432
SawyerW,7175,RL,1Story,50,6,5,1984,1984,744,752,0,0,752,1,0,2,1,4,0,1984,1,264,353,0,0,125000
NAmes,10634,RL,1Story,79,5,6,1953,1953,608,1319,0,0,1319,1,0,3,1,5,0,1953,1,270,66,0,0,123000
CollgCr,8200,RL,2Story,65,7,5,2003,2004,847,847,1081,0,1928,2,1,4,1,8,1,2003,2,434,100,48,0,219500
Edwards,10020,RL,1Story,NA,1,1,1922,1950,683,904,0,0,904,0,1,1,1,4,0,NA,0,0,0,0,0,61000
CollgCr,8846,RL,SFoyer,57,5,5,1996,1996,870,914,0,0,914,1,0,2,1,5,0,1998,2,576,0,0,0,148000
Somerst,11143,FV,2Story,102,8,5,2004,2005,1580,1580,886,0,2466,3,0,4,1,8,1,2004,2,610,159,214,0,340000
StoneBr,11394,RL,1Story,88,9,2,2010,2010,1856,1856,0,0,1856,1,1,1,1,8,1,2010,3,834,113,0,0,394432
Gilbert,8123,RL,2Story,60,6,5,2000,2000,982,1007,793,0,1800,2,1,3,1,7,1,2000,2,463,100,63,0,179000
SWISU,5000,RL,1.5Fin,50,5,6,1924,1950,1026,1026,665,0,1691,2,0,3,1,6,1,1924,1,308,0,0,242,127000
Somerst,7200,FV,1Story,60,7,5,2006,2006,1293,1301,0,0,1301,2,0,2,1,5,1,2006,2,572,216,121,0,187750
CollgCr,9245,RL,2Story,79,7,5,2006,2006,939,939,858,0,1797,2,1,3,1,8,0,2006,2,639,144,53,0,213500
SawyerW,9000,RH,1.5Unf,60,6,3,1928,1950,784,784,0,0,784,1,0,2,1,5,0,1950,2,360,0,0,91,76000
ClearCr,53107,RL,2Story,NA,6,5,1992,1992,1580,1079,874,0,1953,2,1,3,1,9,2,1992,2,501,216,231,0,240000
Blmngtn,3182,RL,1Story,43,8,5,2004,2005,1256,1269,0,0,1269,2,0,2,1,6,1,2004,2,430,146,20,0,192000
Edwards,8410,RL,1.5Fin,58,5,3,1910,1996,658,658,526,0,1184,1,0,5,1,8,0,NA,0,0,0,151,0,81000
Edwards,7200,RL,SLvl,72,6,6,1976,1976,1041,1125,0,0,1125,1,0,3,1,6,1,1977,1,352,296,0,0,125000
CollgCr,9382,RL,1Story,93,7,5,1999,2000,1468,1479,0,0,1479,2,0,3,1,6,0,1999,2,577,120,25,0,191000
NridgHt,12474,RL,2Story,96,10,5,2007,2008,1682,1742,590,0,2332,2,1,3,1,9,1,2008,3,846,196,134,0,426000
Edwards,8405,RL,1.5Fin,50,5,8,1900,1950,861,961,406,0,1367,1,0,4,1,7,0,1978,1,384,0,130,112,119000
Mitchel,12209,RL,2Story,71,6,5,2001,2002,804,804,1157,0,1961,2,1,3,1,7,1,2001,2,560,125,192,0,215000
NAmes,8339,RL,1Story,NA,5,7,1959,1959,0,882,0,0,882,1,0,3,1,5,0,1959,1,294,0,0,0,106500
BrkSide,7446,RL,1Story,NA,4,5,1941,1950,788,788,0,0,788,1,0,2,1,4,2,NA,0,0,0,0,0,100000
OldTown,10134,RL,1.5Fin,60,5,6,1940,1950,735,735,299,0,1034,1,0,2,1,5,0,1940,1,240,0,39,0,109000
Edwards,9571,RL,1Story,68,5,6,1956,1956,1144,1144,0,0,1144,1,0,3,1,6,0,1956,1,596,44,0,0,129000
CollgCr,7200,RL,1Story,60,5,5,1972,1972,894,894,0,0,894,1,0,2,1,6,0,1985,2,600,215,0,0,123000
NAmes,7590,RL,2Story,69,5,5,1962,1962,864,876,936,0,1812,2,0,4,1,8,1,1962,1,264,0,168,0,169500
IDOTRR,8967,RM,1Story,60,5,2,1920,1950,961,1077,0,0,1077,1,0,2,1,6,0,1920,1,338,0,0,0,67000
